origem,destino,relacao
0,1239,SEGUE
0,1268,SEGUE
0,1337,SEGUE
0,1358,SEGUE
0,1389,SEGUE
0,1418,SEGUE
0,1449,SEGUE
0,1459,SEGUE
0,1465,SEGUE
0,1524,SEGUE
0,1528,SEGUE
0,1544,SEGUE
0,1567,SEGUE
0,1568,SEGUE
0,1569,SEGUE
0,1573,SEGUE
0,1602,SEGUE
0,1632,SEGUE
0,1665,SEGUE
0,1670,SEGUE
0,1673,SEGUE
0,1679,SEGUE
0,1687,SEGUE
0,1707,SEGUE
0,1723,SEGUE
0,1731,SEGUE
0,1781,SEGUE
0,1788,SEGUE
0,1829,SEGUE
0,1842,SEGUE
0,1848,SEGUE
0,1856,SEGUE
0,1867,SEGUE
0,1892,SEGUE
0,1931,SEGUE
0,1950,SEGUE
0,1951,SEGUE
0,1963,SEGUE
0,1964,SEGUE
0,2036,SEGUE
0,2115,SEGUE
0,2118,SEGUE
0,2155,SEGUE
0,2183,SEGUE
0,2192,SEGUE
0,2194,SEGUE
0,2228,SEGUE
0,2237,SEGUE
0,2242,SEGUE
0,2269,SEGUE
0,2272,SEGUE
0,2289,SEGUE
0,2296,SEGUE
0,2342,SEGUE
0,2410,SEGUE
0,2424,SEGUE
0,2481,SEGUE
0,2501,SEGUE
0,2509,SEGUE
0,2553,SEGUE
0,2574,SEGUE
0,2609,SEGUE
0,2614,SEGUE
0,2625,SEGUE
0,2649,SEGUE
0,2684,SEGUE
0,2710,SEGUE
0,2746,SEGUE
0,2763,SEGUE
0,2796,SEGUE
0,2804,SEGUE
0,2831,SEGUE
0,2836,SEGUE
0,2905,SEGUE
0,2948,SEGUE
0,2963,SEGUE
0,3039,SEGUE
0,3075,SEGUE
0,3174,SEGUE
0,3187,SEGUE
0,3253,SEGUE
0,3283,SEGUE
0,3291,SEGUE
0,3293,SEGUE
0,3301,SEGUE
0,3320,SEGUE
0,3385,SEGUE
0,3403,SEGUE
0,3408,SEGUE
0,3448,SEGUE
0,3457,SEGUE
0,3473,SEGUE
0,3498,SEGUE
0,3508,SEGUE
0,3536,SEGUE
0,3538,SEGUE
0,3583,SEGUE
0,3586,SEGUE
0,3614,SEGUE
0,3638,SEGUE
0,3699,SEGUE
0,3723,SEGUE
0,3795,SEGUE
0,3835,SEGUE
0,3845,SEGUE
0,3918,SEGUE
0,3940,SEGUE
0,3963,SEGUE
0,3977,SEGUE
0,4071,SEGUE
0,4072,SEGUE
0,4102,SEGUE
0,4193,SEGUE
0,4224,SEGUE
0,4264,SEGUE
0,4281,SEGUE
0,4324,SEGUE
0,4347,SEGUE
0,4488,SEGUE
0,4490,SEGUE
0,4505,SEGUE
0,4520,SEGUE
0,4531,SEGUE
0,4661,SEGUE
0,4733,SEGUE
0,4800,SEGUE
0,4821,SEGUE
0,4840,SEGUE
0,4885,SEGUE
0,4913,SEGUE
0,4924,SEGUE
0,4977,SEGUE
0,4994,SEGUE
0,5003,SEGUE
0,5018,SEGUE
0,5042,SEGUE
0,5076,SEGUE
0,5098,SEGUE
0,5192,SEGUE
0,5244,SEGUE
0,5255,SEGUE
0,5323,SEGUE
0,5392,SEGUE
0,5394,SEGUE
0,5454,SEGUE
0,5500,SEGUE
0,5507,SEGUE
0,5598,SEGUE
0,5605,SEGUE
0,5634,SEGUE
0,5656,SEGUE
0,5684,SEGUE
0,5752,SEGUE
0,5781,SEGUE
0,5788,SEGUE
0,6004,SEGUE
0,6138,SEGUE
0,6158,SEGUE
0,6233,SEGUE
0,6250,SEGUE
0,6330,SEGUE
0,6353,SEGUE
0,6424,SEGUE
0,6441,SEGUE
0,6533,SEGUE
0,6564,SEGUE
0,6598,SEGUE
0,6620,SEGUE
0,6666,SEGUE
0,6669,SEGUE
0,6805,SEGUE
0,6847,SEGUE
0,6856,SEGUE
0,6938,SEGUE
0,7126,SEGUE
0,7147,SEGUE
0,7271,SEGUE
0,7358,SEGUE
0,7511,SEGUE
0,7528,SEGUE
0,7578,SEGUE
0,7592,SEGUE
0,7660,SEGUE
0,7671,SEGUE
0,7721,SEGUE
0,7813,SEGUE
0,7814,SEGUE
0,7929,SEGUE
0,7935,SEGUE
0,7949,SEGUE
0,7969,SEGUE
0,7998,SEGUE
0,8083,SEGUE
0,8120,SEGUE
0,8158,SEGUE
0,8199,SEGUE
0,8261,SEGUE
0,8307,SEGUE
0,8337,SEGUE
0,8350,SEGUE
0,8484,SEGUE
0,8519,SEGUE
0,8614,SEGUE
0,8642,SEGUE
0,8896,SEGUE
0,8929,SEGUE
0,8936,SEGUE
0,8937,SEGUE
0,9188,SEGUE
0,9299,SEGUE
0,9358,SEGUE
0,9363,SEGUE
0,9371,SEGUE
0,9415,SEGUE
0,9566,SEGUE
0,9600,SEGUE
0,9637,SEGUE
0,9727,SEGUE
0,9762,SEGUE
0,9855,SEGUE
0,9915,SEGUE
0,9952,SEGUE
0,9998,SEGUE
0,10015,SEGUE
0,10078,SEGUE
0,10132,SEGUE
0,10222,SEGUE
0,10261,SEGUE
0,10272,SEGUE
0,10282,SEGUE
0,10296,SEGUE
0,10386,SEGUE
0,10448,SEGUE
0,10520,SEGUE
0,10588,SEGUE
0,10709,SEGUE
0,10798,SEGUE
0,10799,SEGUE
0,10837,SEGUE
0,10876,SEGUE
0,11075,SEGUE
0,11157,SEGUE
0,11311,SEGUE
0,11403,SEGUE
0,11548,SEGUE
0,11550,SEGUE
0,11594,SEGUE
0,11650,SEGUE
0,11680,SEGUE
0,11884,SEGUE
0,11895,SEGUE
0,12017,SEGUE
0,12041,SEGUE
0,12120,SEGUE
0,12255,SEGUE
0,12352,SEGUE
0,12356,SEGUE
0,12405,SEGUE
0,12417,SEGUE
0,12521,SEGUE
0,12636,SEGUE
0,12729,SEGUE
0,12746,SEGUE
0,12808,SEGUE
0,12817,SEGUE
0,12826,SEGUE
0,12910,SEGUE
0,12974,SEGUE
0,12975,SEGUE
0,13036,SEGUE
0,13094,SEGUE
0,13096,SEGUE
0,13175,SEGUE
0,13182,SEGUE
0,13248,SEGUE
0,13305,SEGUE
0,13561,SEGUE
0,13565,SEGUE
0,13591,SEGUE
0,13662,SEGUE
0,13704,SEGUE
0,13861,SEGUE
0,13892,SEGUE
0,13922,SEGUE
0,14088,SEGUE
0,14145,SEGUE
0,14318,SEGUE
0,14396,SEGUE
0,14446,SEGUE
0,14506,SEGUE
0,14545,SEGUE
0,14621,SEGUE
0,14661,SEGUE
0,14675,SEGUE
0,14829,SEGUE
0,14846,SEGUE
0,14908,SEGUE
0,14932,SEGUE
0,15050,SEGUE
0,15057,SEGUE
0,15302,SEGUE
0,15362,SEGUE
0,15454,SEGUE
0,15456,SEGUE
0,15545,SEGUE
0,15641,SEGUE
0,15690,SEGUE
0,15725,SEGUE
0,15818,SEGUE
0,15879,SEGUE
0,15916,SEGUE
0,15940,SEGUE
0,16041,SEGUE
0,16052,SEGUE
0,16078,SEGUE
0,16097,SEGUE
0,16195,SEGUE
0,16232,SEGUE
0,16304,SEGUE
0,16331,SEGUE
0,16357,SEGUE
0,16569,SEGUE
0,16625,SEGUE
0,16632,SEGUE
0,16656,SEGUE
0,16667,SEGUE
0,16763,SEGUE
0,16789,SEGUE
0,16888,SEGUE
0,17073,SEGUE
0,17207,SEGUE
0,17250,SEGUE
0,17284,SEGUE
0,17389,SEGUE
0,17390,SEGUE
0,17448,SEGUE
0,17449,SEGUE
0,17638,SEGUE
0,17686,SEGUE
0,18004,SEGUE
0,18105,SEGUE
0,18150,SEGUE
0,18211,SEGUE
0,18290,SEGUE
0,18317,SEGUE
0,18390,SEGUE
0,18443,SEGUE
0,18774,SEGUE
0,18787,SEGUE
0,18875,SEGUE
0,19118,SEGUE
0,19119,SEGUE
0,19190,SEGUE
0,19282,SEGUE
0,19355,SEGUE
0,19357,SEGUE
0,19451,SEGUE
0,19509,SEGUE
0,19569,SEGUE
0,19604,SEGUE
0,19649,SEGUE
0,19737,SEGUE
0,19777,SEGUE
0,19995,SEGUE
0,20174,SEGUE
0,20312,SEGUE
0,20582,SEGUE
0,20716,SEGUE
0,20951,SEGUE
0,21066,SEGUE
0,21232,SEGUE
0,21344,SEGUE
0,21393,SEGUE
0,21776,SEGUE
0,22076,SEGUE
0,22113,SEGUE
0,22192,SEGUE
0,22204,SEGUE
0,22527,SEGUE
0,22628,SEGUE
0,22840,SEGUE
0,22868,SEGUE
0,22886,SEGUE
0,22993,SEGUE
0,23139,SEGUE
0,23249,SEGUE
0,23289,SEGUE
0,23360,SEGUE
0,23452,SEGUE
0,23458,SEGUE
0,23554,SEGUE
0,23555,SEGUE
0,23654,SEGUE
0,23655,SEGUE
0,23818,SEGUE
0,23979,SEGUE
0,24055,SEGUE
0,24098,SEGUE
0,24102,SEGUE
0,24205,SEGUE
0,24227,SEGUE
0,24239,SEGUE
0,24280,SEGUE
0,24382,SEGUE
0,24452,SEGUE
0,24480,SEGUE
0,24501,SEGUE
0,24600,SEGUE
0,24649,SEGUE
0,24796,SEGUE
0,24798,SEGUE
0,24877,SEGUE
0,24890,SEGUE
0,24969,SEGUE
0,25012,SEGUE
0,25143,SEGUE
0,25284,SEGUE
0,25482,SEGUE
0,25515,SEGUE
0,25593,SEGUE
0,25611,SEGUE
0,25753,SEGUE
0,25858,SEGUE
0,25904,SEGUE
0,26001,SEGUE
0,26042,SEGUE
0,26043,SEGUE
0,26058,SEGUE
0,26084,SEGUE
0,26537,SEGUE
0,26544,SEGUE
0,26617,SEGUE
0,26663,SEGUE
0,26777,SEGUE
0,26878,SEGUE
0,26897,SEGUE
0,27103,SEGUE
0,27119,SEGUE
0,27176,SEGUE
0,27236,SEGUE
0,27260,SEGUE
0,27403,SEGUE
0,27430,SEGUE
0,27496,SEGUE
0,27714,SEGUE
0,27735,SEGUE
0,27942,SEGUE
0,28048,SEGUE
0,28077,SEGUE
0,28080,SEGUE
0,28151,SEGUE
0,28366,SEGUE
0,28458,SEGUE
0,28492,SEGUE
0,28591,SEGUE
0,28939,SEGUE
0,28965,SEGUE
0,29133,SEGUE
0,29235,SEGUE
0,29400,SEGUE
0,29472,SEGUE
0,29625,SEGUE
0,29702,SEGUE
0,29881,SEGUE
0,30041,SEGUE
0,30124,SEGUE
0,30178,SEGUE
0,30190,SEGUE
0,30395,SEGUE
0,30401,SEGUE
0,30422,SEGUE
0,30456,SEGUE
0,30565,SEGUE
0,30788,SEGUE
0,31125,SEGUE
0,31163,SEGUE
0,31193,SEGUE
0,31237,SEGUE
0,31257,SEGUE
0,31457,SEGUE
0,31630,SEGUE
0,31703,SEGUE
0,31802,SEGUE
0,31853,SEGUE
0,32008,SEGUE
0,32030,SEGUE
0,32071,SEGUE
0,32277,SEGUE
0,32437,SEGUE
0,32505,SEGUE
0,32558,SEGUE
0,32649,SEGUE
0,32950,SEGUE
0,32954,SEGUE
0,33073,SEGUE
0,33165,SEGUE
0,33180,SEGUE
0,33183,SEGUE
0,33204,SEGUE
0,33220,SEGUE
0,33261,SEGUE
0,33364,SEGUE
0,33586,SEGUE
0,33597,SEGUE
0,33745,SEGUE
0,33832,SEGUE
0,34013,SEGUE
0,34017,SEGUE
0,34232,SEGUE
0,34286,SEGUE
0,34389,SEGUE
0,34480,SEGUE
0,34630,SEGUE
0,34890,SEGUE
0,35011,SEGUE
0,35206,SEGUE
0,35463,SEGUE
0,35699,SEGUE
0,35794,SEGUE
0,36229,SEGUE
0,36326,SEGUE
0,36343,SEGUE
0,36351,SEGUE
0,36393,SEGUE
0,37302,SEGUE
0,37362,SEGUE
0,37685,SEGUE
0,37824,SEGUE
0,37849,SEGUE
0,37949,SEGUE
0,38195,SEGUE
0,38283,SEGUE
0,38410,SEGUE
0,38452,SEGUE
0,38505,SEGUE
0,38566,SEGUE
0,38633,SEGUE
0,38787,SEGUE
0,38898,SEGUE
0,38969,SEGUE
0,39023,SEGUE
0,39096,SEGUE
0,39249,SEGUE
0,39304,SEGUE
0,39502,SEGUE
0,39638,SEGUE
0,39844,SEGUE
0,39905,SEGUE
0,39931,SEGUE
0,39952,SEGUE
0,40173,SEGUE
0,40483,SEGUE
0,40585,SEGUE
0,40693,SEGUE
0,40840,SEGUE
0,40979,SEGUE
0,41109,SEGUE
0,41261,SEGUE
0,41621,SEGUE
0,41808,SEGUE
0,41812,SEGUE
0,41938,SEGUE
0,41957,SEGUE
0,41979,SEGUE
0,42077,SEGUE
0,42109,SEGUE
0,42115,SEGUE
0,42131,SEGUE
0,42681,SEGUE
0,42856,SEGUE
0,42914,SEGUE
0,43061,SEGUE
0,43163,SEGUE
0,43239,SEGUE
0,43554,SEGUE
0,43601,SEGUE
0,43994,SEGUE
0,44187,SEGUE
0,44608,SEGUE
0,44683,SEGUE
0,45193,SEGUE
0,45236,SEGUE
0,45369,SEGUE
0,45429,SEGUE
0,45457,SEGUE
0,45621,SEGUE
0,45793,SEGUE
0,45976,SEGUE
0,46010,SEGUE
0,46171,SEGUE
0,46488,SEGUE
0,46526,SEGUE
0,46651,SEGUE
0,46672,SEGUE
0,46840,SEGUE
0,46983,SEGUE
0,47006,SEGUE
0,47306,SEGUE
0,47425,SEGUE
0,47564,SEGUE
0,47571,SEGUE
0,47638,SEGUE
0,47952,SEGUE
0,48148,SEGUE
0,48396,SEGUE
0,48458,SEGUE
0,49014,SEGUE
0,49357,SEGUE
1,7,SEGUE
1,10,SEGUE
1,12,SEGUE
1,16,SEGUE
1,48,SEGUE
1,52,SEGUE
1,61,SEGUE
1,68,SEGUE
1,86,SEGUE
1,103,SEGUE
1,104,SEGUE
1,105,SEGUE
1,110,SEGUE
1,147,SEGUE
1,168,SEGUE
1,183,SEGUE
1,204,SEGUE
1,215,SEGUE
1,261,SEGUE
1,291,SEGUE
1,347,SEGUE
1,357,SEGUE
1,365,SEGUE
1,381,SEGUE
1,383,SEGUE
1,389,SEGUE
1,446,SEGUE
1,461,SEGUE
1,485,SEGUE
1,533,SEGUE
1,553,SEGUE
1,569,SEGUE
1,579,SEGUE
1,601,SEGUE
1,694,SEGUE
1,714,SEGUE
1,751,SEGUE
1,780,SEGUE
1,870,SEGUE
1,884,SEGUE
1,1121,SEGUE
1,1180,SEGUE
1,1323,SEGUE
1,1445,SEGUE
1,1454,SEGUE
1,1495,SEGUE
1,1565,SEGUE
1,1575,SEGUE
1,1592,SEGUE
1,1653,SEGUE
1,1732,SEGUE
1,1796,SEGUE
1,2063,SEGUE
1,2330,SEGUE
1,2381,SEGUE
1,2422,SEGUE
1,2486,SEGUE
1,2528,SEGUE
1,2531,SEGUE
1,2549,SEGUE
1,2551,SEGUE
1,2590,SEGUE
1,2651,SEGUE
1,2660,SEGUE
1,2728,SEGUE
1,2734,SEGUE
1,2774,SEGUE
1,2788,SEGUE
1,2800,SEGUE
1,2859,SEGUE
1,2880,SEGUE
1,2950,SEGUE
1,2999,SEGUE
1,3165,SEGUE
1,3217,SEGUE
1,3444,SEGUE
1,3555,SEGUE
1,3583,SEGUE
1,3609,SEGUE
1,3619,SEGUE
1,3668,SEGUE
1,3720,SEGUE
1,3770,SEGUE
1,4187,SEGUE
1,4205,SEGUE
1,4223,SEGUE
1,4780,SEGUE
1,4786,SEGUE
1,5003,SEGUE
1,5043,SEGUE
1,5292,SEGUE
1,5329,SEGUE
1,5411,SEGUE
1,5458,SEGUE
1,5504,SEGUE
1,5799,SEGUE
1,5875,SEGUE
1,5921,SEGUE
1,5951,SEGUE
1,5978,SEGUE
1,6039,SEGUE
1,6130,SEGUE
1,6146,SEGUE
1,6148,SEGUE
1,6153,SEGUE
1,6241,SEGUE
1,6289,SEGUE
1,6315,SEGUE
1,6585,SEGUE
1,6606,SEGUE
1,6608,SEGUE
1,6654,SEGUE
1,6780,SEGUE
1,6893,SEGUE
1,6898,SEGUE
1,7177,SEGUE
1,7212,SEGUE
1,7241,SEGUE
1,7252,SEGUE
1,7422,SEGUE
1,7451,SEGUE
1,7476,SEGUE
1,7511,SEGUE
1,7587,SEGUE
1,7588,SEGUE
1,7591,SEGUE
1,7886,SEGUE
1,8119,SEGUE
1,8309,SEGUE
1,8323,SEGUE
1,8444,SEGUE
1,8472,SEGUE
1,8536,SEGUE
1,8637,SEGUE
1,8659,SEGUE
1,8661,SEGUE
1,8770,SEGUE
1,8845,SEGUE
1,8912,SEGUE
1,8988,SEGUE
1,9046,SEGUE
1,9154,SEGUE
1,9324,SEGUE
1,9530,SEGUE
1,9552,SEGUE
1,9908,SEGUE
1,9938,SEGUE
1,10051,SEGUE
1,10283,SEGUE
1,10443,SEGUE
1,10479,SEGUE
1,10723,SEGUE
1,10799,SEGUE
1,10804,SEGUE
1,11025,SEGUE
1,11083,SEGUE
1,11216,SEGUE
1,11269,SEGUE
1,11369,SEGUE
1,11413,SEGUE
1,11543,SEGUE
1,11558,SEGUE
1,11673,SEGUE
1,11694,SEGUE
1,11961,SEGUE
1,12061,SEGUE
1,12082,SEGUE
1,12139,SEGUE
1,12219,SEGUE
1,12231,SEGUE
1,12425,SEGUE
1,12601,SEGUE
1,12865,SEGUE
1,13078,SEGUE
1,13107,SEGUE
1,13334,SEGUE
1,13343,SEGUE
1,13370,SEGUE
1,13492,SEGUE
1,13611,SEGUE
1,13672,SEGUE
1,13723,SEGUE
1,14130,SEGUE
1,14222,SEGUE
1,14338,SEGUE
1,14477,SEGUE
1,14594,SEGUE
1,14766,SEGUE
1,14873,SEGUE
1,14888,SEGUE
1,15059,SEGUE
1,15117,SEGUE
1,15178,SEGUE
1,15225,SEGUE
1,15383,SEGUE
1,15519,SEGUE
1,15643,SEGUE
1,15644,SEGUE
1,16331,SEGUE
1,16592,SEGUE
1,16641,SEGUE
1,16745,SEGUE
1,16781,SEGUE
1,16802,SEGUE
1,17352,SEGUE
1,17366,SEGUE
1,17478,SEGUE
1,17816,SEGUE
1,17821,SEGUE
1,17995,SEGUE
1,18231,SEGUE
1,18276,SEGUE
1,18322,SEGUE
1,18333,SEGUE
1,18427,SEGUE
1,18518,SEGUE
1,18595,SEGUE
1,18743,SEGUE
1,18748,SEGUE
1,18755,SEGUE
1,19510,SEGUE
1,19659,SEGUE
1,20094,SEGUE
1,20256,SEGUE
1,20340,SEGUE
1,20525,SEGUE
1,20887,SEGUE
1,21002,SEGUE
1,21166,SEGUE
1,21482,SEGUE
1,21665,SEGUE
1,21819,SEGUE
1,22206,SEGUE
1,22873,SEGUE
1,23403,SEGUE
1,23422,SEGUE
1,23704,SEGUE
1,23808,SEGUE
1,23939,SEGUE
1,24283,SEGUE
1,24477,SEGUE
1,24494,SEGUE
1,24542,SEGUE
1,24809,SEGUE
1,24838,SEGUE
1,25131,SEGUE
1,25399,SEGUE
1,26417,SEGUE
1,26619,SEGUE
1,26626,SEGUE
1,26725,SEGUE
1,26731,SEGUE
1,26844,SEGUE
1,26948,SEGUE
1,27359,SEGUE
1,27376,SEGUE
1,27405,SEGUE
1,27549,SEGUE
1,27595,SEGUE
1,27638,SEGUE
1,28606,SEGUE
1,28751,SEGUE
1,28816,SEGUE
1,29125,SEGUE
1,29733,SEGUE
1,29757,SEGUE
1,29780,SEGUE
1,29895,SEGUE
1,29944,SEGUE
1,30080,SEGUE
1,31144,SEGUE
1,31475,SEGUE
1,31959,SEGUE
1,31970,SEGUE
1,32190,SEGUE
1,32623,SEGUE
1,32649,SEGUE
1,32804,SEGUE
1,32812,SEGUE
1,32843,SEGUE
1,32984,SEGUE
1,32986,SEGUE
1,33876,SEGUE
1,34425,SEGUE
1,34540,SEGUE
1,35005,SEGUE
1,35314,SEGUE
1,35667,SEGUE
1,35714,SEGUE
1,36315,SEGUE
1,36932,SEGUE
1,36972,SEGUE
1,37095,SEGUE
1,37106,SEGUE
1,37135,SEGUE
1,37481,SEGUE
1,37699,SEGUE
1,37903,SEGUE
1,37929,SEGUE
1,38033,SEGUE
1,38174,SEGUE
1,38227,SEGUE
1,38254,SEGUE
1,38315,SEGUE
1,38329,SEGUE
1,38938,SEGUE
1,38967,SEGUE
1,39096,SEGUE
1,39205,SEGUE
1,39228,SEGUE
1,39606,SEGUE
1,39616,SEGUE
1,39865,SEGUE
1,40313,SEGUE
1,40346,SEGUE
1,40374,SEGUE
1,40936,SEGUE
1,41208,SEGUE
1,41448,SEGUE
1,41604,SEGUE
1,41732,SEGUE
1,41998,SEGUE
1,42109,SEGUE
1,42547,SEGUE
1,42582,SEGUE
1,42783,SEGUE
1,43452,SEGUE
1,44024,SEGUE
1,44422,SEGUE
1,44746,SEGUE
1,44936,SEGUE
1,45163,SEGUE
1,45605,SEGUE
1,45729,SEGUE
1,46100,SEGUE
1,46716,SEGUE
1,47024,SEGUE
1,47205,SEGUE
1,47322,SEGUE
1,48033,SEGUE
1,48218,SEGUE
1,48246,SEGUE
1,48343,SEGUE
1,48481,SEGUE
1,48606,SEGUE
1,49167,SEGUE
2,6,SEGUE
2,7,SEGUE
2,8,SEGUE
2,9,SEGUE
2,16,SEGUE
2,29,SEGUE
2,48,SEGUE
2,93,SEGUE
2,113,SEGUE
2,135,SEGUE
2,168,SEGUE
2,201,SEGUE
2,266,SEGUE
2,298,SEGUE
2,307,SEGUE
2,309,SEGUE
2,390,SEGUE
2,401,SEGUE
2,405,SEGUE
2,484,SEGUE
2,513,SEGUE
2,546,SEGUE
2,557,SEGUE
2,604,SEGUE
2,694,SEGUE
2,720,SEGUE
2,758,SEGUE
2,769,SEGUE
2,805,SEGUE
2,829,SEGUE
2,983,SEGUE
2,989,SEGUE
2,1054,SEGUE
2,1081,SEGUE
2,1092,SEGUE
2,1154,SEGUE
2,1181,SEGUE
2,1184,SEGUE
2,1195,SEGUE
2,1200,SEGUE
2,1210,SEGUE
2,1220,SEGUE
2,1286,SEGUE
2,1333,SEGUE
2,1342,SEGUE
2,1349,SEGUE
2,1417,SEGUE
2,1454,SEGUE
2,1516,SEGUE
2,1552,SEGUE
2,1569,SEGUE
2,1643,SEGUE
2,1745,SEGUE
2,1798,SEGUE
2,2185,SEGUE
2,2202,SEGUE
2,2271,SEGUE
2,2371,SEGUE
2,2525,SEGUE
2,2544,SEGUE
2,2590,SEGUE
2,2654,SEGUE
2,2978,SEGUE
2,3093,SEGUE
2,3102,SEGUE
2,3183,SEGUE
2,3209,SEGUE
2,3319,SEGUE
2,3453,SEGUE
2,3530,SEGUE
2,3553,SEGUE
2,3683,SEGUE
2,3786,SEGUE
2,3806,SEGUE
2,3940,SEGUE
2,4179,SEGUE
2,4238,SEGUE
2,4368,SEGUE
2,4370,SEGUE
2,4385,SEGUE
2,4618,SEGUE
2,4619,SEGUE
2,4678,SEGUE
2,4715,SEGUE
2,4858,SEGUE
2,5054,SEGUE
2,5074,SEGUE
2,5084,SEGUE
2,5217,SEGUE
2,5256,SEGUE
2,5367,SEGUE
2,5465,SEGUE
2,5543,SEGUE
2,5635,SEGUE
2,5676,SEGUE
2,5881,SEGUE
2,6018,SEGUE
2,6069,SEGUE
2,6227,SEGUE
2,6267,SEGUE
2,6350,SEGUE
2,6850,SEGUE
2,6872,SEGUE
2,6965,SEGUE
2,7150,SEGUE
2,7418,SEGUE
2,7445,SEGUE
2,7647,SEGUE
2,7699,SEGUE
2,7769,SEGUE
2,7867,SEGUE
2,8923,SEGUE
2,9008,SEGUE
2,9067,SEGUE
2,9219,SEGUE
2,9251,SEGUE
2,9383,SEGUE
2,9498,SEGUE
2,9661,SEGUE
2,10100,SEGUE
2,10364,SEGUE
2,10406,SEGUE
2,10606,SEGUE
2,10607,SEGUE
2,10647,SEGUE
2,10728,SEGUE
2,10741,SEGUE
2,10755,SEGUE
2,10865,SEGUE
2,10970,SEGUE
2,11025,SEGUE
2,11221,SEGUE
2,11244,SEGUE
2,11255,SEGUE
2,11260,SEGUE
2,11476,SEGUE
2,11499,SEGUE
2,11638,SEGUE
2,11895,SEGUE
2,12024,SEGUE
2,12112,SEGUE
2,12215,SEGUE
2,12440,SEGUE
2,12520,SEGUE
2,12673,SEGUE
2,13092,SEGUE
2,13456,SEGUE
2,13608,SEGUE
2,13657,SEGUE
2,13841,SEGUE
2,14029,SEGUE
2,14435,SEGUE
2,14560,SEGUE
2,14722,SEGUE
2,14754,SEGUE
2,14912,SEGUE
2,15134,SEGUE
2,15148,SEGUE
2,15168,SEGUE
2,15322,SEGUE
2,16002,SEGUE
2,16025,SEGUE
2,16076,SEGUE
2,16091,SEGUE
2,16348,SEGUE
2,16474,SEGUE
2,16598,SEGUE
2,16823,SEGUE
2,16832,SEGUE
2,17115,SEGUE
2,17472,SEGUE
2,17604,SEGUE
2,17831,SEGUE
2,17919,SEGUE
2,18052,SEGUE
2,18270,SEGUE
2,18287,SEGUE
2,18347,SEGUE
2,18497,SEGUE
2,18568,SEGUE
2,18834,SEGUE
2,18837,SEGUE
2,19246,SEGUE
2,19328,SEGUE
2,19741,SEGUE
2,19807,SEGUE
2,19902,SEGUE
2,19915,SEGUE
2,20126,SEGUE
2,20243,SEGUE
2,20531,SEGUE
2,20690,SEGUE
2,21158,SEGUE
2,21159,SEGUE
2,21168,SEGUE
2,21191,SEGUE
2,21316,SEGUE
2,21322,SEGUE
2,21571,SEGUE
2,21689,SEGUE
2,21732,SEGUE
2,21761,SEGUE
2,22233,SEGUE
2,22269,SEGUE
2,22744,SEGUE
2,23344,SEGUE
2,23751,SEGUE
2,23756,SEGUE
